1670104513.217073,0
1670104513.324683,36
1670104513.432530,89
1670104513.540589,99
1670104513.648712,100
1670104513.757512,99
1670104513.865345,100
1670104513.975163,97
1670104514.087811,99
1670104514.197633,99
1670104514.305204,99
1670104514.413104,97
1670104514.519991,100
1670104514.631117,96
1670104514.740440,97
1670104514.848293,100
1670104514.956605,98
1670104515.067210,85
1670104515.181614,98
1670104515.291876,98
1670104515.401036,85
1670104515.513942,52
1670104515.623811,30
1670104515.732213,27
1670104515.839308,30
1670104515.946958,25
1670104516.055767,19
1670104516.165587,28
1670104516.274354,33
1670104516.384617,32
1670104516.493793,33
1670104516.601716,28
1670104516.709872,40
1670104516.817996,35
1670104516.926244,48
1670104517.039655,58
1670104517.148972,32
1670104517.257952,41
1670104517.365964,42
1670104517.472562,56
1670104517.581620,59
1670104517.690496,33
1670104517.807891,27
1670104517.929595,30
1670104518.056441,32
1670104518.171752,31
1670104518.280723,31
1670104518.389451,33
1670104518.498250,34
1670104518.607620,33
1670104518.717328,35
1670104518.824957,34
1670104518.937188,34
1670104519.055991,34
1670104519.169515,35
1670104519.280388,35
1670104519.392857,36
1670104519.501097,35
1670104519.611010,36
1670104519.718305,37
1670104519.826297,38
1670104519.938146,37
1670104520.045307,38
1670104520.174452,35
1670104520.310251,38
1670104520.419247,39
1670104520.528585,39
1670104520.652911,37
1670104520.764398,40
1670104520.881580,41
1670104521.000932,41
1670104521.111820,42
1670104521.221323,40
1670104521.334174,42
1670104521.446001,42
1670104521.553571,42
1670104521.661565,42
1670104521.768853,43
1670104521.875391,43
1670104521.987012,42
1670104522.095070,44
1670104522.203307,44
1670104522.315503,43
1670104522.433634,44
1670104522.542005,45
1670104522.648245,45
1670104522.756968,45
1670104522.866960,45
1670104522.976995,46
1670104523.087476,46
1670104523.196563,46
1670104523.307998,46
1670104523.416905,47
1670104523.529700,47
1670104523.641555,48
1670104523.748134,49
1670104523.855283,59
1670104523.963566,59
1670104524.071203,69
1670104524.180097,72
1670104524.288140,77
1670104524.395350,53
1670104524.505576,52
1670104524.617082,59
1670104524.726155,59
1670104524.836274,69
1670104524.941581,73
1670104525.048208,78
1670104525.160791,54
1670104525.273190,52
1670104525.384460,61
1670104525.492769,59
1670104525.602390,73
1670104525.711961,72
1670104525.817933,80
1670104525.926304,62
1670104526.036394,53
1670104526.143987,51
1670104526.249158,52
1670104526.356524,52
1670104526.464329,52
1670104526.570240,52
1670104526.685863,53
1670104526.792173,53
1670104526.905435,52
1670104527.012620,52
1670104527.120758,52
1670104527.228681,52
1670104527.337217,54
1670104527.448912,53
1670104527.557973,54
1670104527.665150,53
1670104527.777726,55
1670104527.893105,54
1670104528.001656,55
1670104528.108414,56
1670104528.214391,56
1670104528.323423,55
1670104528.433990,55
1670104528.544757,56
1670104528.653589,56
1670104528.764693,56
1670104528.873074,56
1670104528.979776,57
1670104529.085646,57
1670104529.192292,57
1670104529.302412,57
1670104529.409177,59
1670104529.522768,59
1670104529.631854,59
1670104529.741998,59
